iter	RMSE
148	26.97470665
149	26.95746774
150	26.94746033
151	26.93734037
152	26.90811163
153	26.89717819
154	26.86959199
155	26.84674833
156	26.84295653
157	26.84145003
158	26.84052304
159	26.83394554
160	26.82852805
161	26.8195446
162	26.8135429
163	26.81204647
164	26.81193089
165	26.7865844
166	26.7861877
167	26.7627284
168	26.74858027
169	26.73872803
170	26.73319684
171	26.72793777
172	26.72792174
173	26.72676716
174	26.72085273
175	26.7018281
176	26.68642433
177	26.68208056
178	26.6803807
179	26.67367178
180	26.6694448
181	26.6627996
182	26.66163692
183	26.66020122
184	26.65933274
185	26.65898264
186	26.65808512
187	26.64625422
188	26.63052881
189	26.62985772
190	26.62481844
191	26.61098314
192	26.6070331
193	26.60693841
194	26.60586504
195	26.59896738
196	26.5809732
197	26.57184052
198	26.56764101
199	26.56436067
200	26.54937953
201	26.54406379
202	26.54112973
203	26.52812353
204	26.5266052
205	26.52309248
206	26.51040073
207	26.49739418
208	26.49147186
209	26.48943447
210	26.47651028
211	26.47454123
212	26.46282333
213	26.45690104
214	26.45549582
215	26.43661697
216	26.41592901
217	26.41295622
218	26.41062285
219	26.41024391
220	26.41016402
221	26.40894291
222	26.40115993
223	26.39962534
224	26.39962419
225	26.3993987
226	26.39619902
227	26.39506699
228	26.39007718
229	26.38986296
230	26.38745839
231	26.37435008
232	26.37310797
233	26.36857272
234	26.35684939
235	26.35633072
236	26.35223363
237	26.34832085
238	26.3453142
239	26.34199056
240	26.34127706
241	26.33649317
242	26.32539695
243	26.32507209
244	26.31246506
245	26.3119384
246	26.31178297
247	26.31101718
248	26.30984128
249	26.3072003
250	26.30718518
251	26.30323505
252	26.30259746
253	26.3025884
254	26.30252336
255	26.30245558
256	26.30238857
257	26.29996854
258	26.29470686
259	26.29325168
260	26.28948846
261	26.2893911
262	26.28779463
263	26.28778589
264	26.28458941
265	26.2832333
266	26.28322338
267	26.27741596
268	26.27740642
269	26.27690394
270	26.27177884
271	26.2665141
272	26.26604673
273	26.25293885
274	26.25232284
275	26.25229655
276	26.25228789
277	26.25116009
278	26.24320644
279	26.24236245
280	26.24155202
281	26.24149216
282	26.24149216
283	26.23936136
284	26.23861191
285	26.23844925
286	26.23804225
287	26.23555529
288	26.23466431
289	26.23389794
290	26.2337472
291	26.23374583
292	26.22517112
293	26.21988082
294	26.21943123
295	26.21835931
296	26.21811469
297	26.21632085
298	26.21377321
299	26.21338619
300	26.21329055
301	26.21329055
302	26.20907521
303	26.20259328
304	26.2022314
305	26.19167148
306	26.19166309
307	26.19117862
308	26.18786709
309	26.18403715
310	26.18373575
311	26.18373418
312	26.18373263
313	26.17471087
314	26.17436924
315	26.17403849
316	26.17380198
317	26.1731384
318	26.17224652
319	26.17188468
320	26.16714146
321	26.16630427
322	26.15958386
323	26.15958247
324	26.15945602
325	26.1590637
326	26.15802318
327	26.15355149
328	26.15331026
329	26.15302198
330	26.14619224
331	26.14449839
332	26.14432676
333	26.1408207
334	26.14048608
335	26.14015766
336	26.136865
337	26.13043542
338	26.12729472
339	26.1231461
340	26.12275314
341	26.10512207
342	26.1050073
343	26.104648
344	26.10434902
345	26.10097361
346	26.09942506
347	26.09929137
348	26.09895106
349	26.09744682
350	26.09461301
351	26.09439308
352	26.09329665
353	26.08542556
354	26.08438351
355	26.08375076
356	26.08360648
357	26.08346137
358	26.0833335
359	26.08280669
360	26.08259358
361	26.07967044
362	26.07950001
363	26.07090618
364	26.06950081
365	26.0689371
366	26.06876944
367	26.06849978
368	26.05255403
369	26.05214139
370	26.05199192
371	26.04469171
372	26.02963513
373	26.02424379
374	26.00831247
375	26.00772233
376	26.00750852
377	26.00741564
378	25.99396268
379	25.99243305
380	25.99223219
381	25.991958
382	25.99136932
383	25.98763814
384	25.98707732
385	25.98453838
386	25.97700011
387	25.97683603
388	25.97657331
389	25.97602177
390	25.97577844
391	25.97528985
392	25.9751558
393	25.9707095
394	25.96647733
395	25.96382023
396	25.96369255
397	25.96294177
398	25.9628614
399	25.9627824
400	25.96167992
401	25.96148515
402	25.96074753
403	25.960023
404	25.95997053
405	25.95929412
406	25.94947502
407	25.94489026
408	25.94247767
409	25.94244525
410	25.94237694
411	25.9416071
412	25.941081
413	25.94053859
414	25.93983584
415	25.93652573
416	25.93628423
417	25.9340472
418	25.92736771
419	25.91244051
420	25.91017179
421	25.90932504
422	25.90911504
423	25.90909758
424	25.90887957
425	25.90854396
426	25.90838538
427	25.90449353
428	25.90445252
429	25.90353018
430	25.90317426
431	25.9031186
432	25.9026762
433	25.89897761
434	25.89879366
435	25.89605426
436	25.8937805
437	25.89026877
438	25.88505017
439	25.88490267
440	25.88469636
441	25.87458416
442	25.86999241
443	25.86859148
444	25.86853144
445	25.86345526
446	25.86327583
447	25.85424215
448	25.85354696
449	25.85097453
450	25.8503971
451	25.84827353
452	25.84822422
453	25.84754183
454	25.84692157
455	25.8467521
456	25.84673684
457	25.84075628
458	25.83729643
459	25.82918573
460	25.8291705
461	25.82712122
462	25.82644649
463	25.82544978
464	25.8253384
465	25.82401447
466	25.82324781
467	25.82239729
468	25.8216379
469	25.8214292
470	25.82077276
471	25.81088062
472	25.81077234
473	25.81048679
474	25.81008348
475	25.80991872
476	25.80222879
477	25.8020921
478	25.79493682
479	25.79430859
480	25.7942852
481	25.79336217
482	25.79309615
483	25.79245434
484	25.79234295
485	25.79168668
486	25.79113469
487	25.79048903
488	25.79022399
489	25.7901985
490	25.78959092
491	25.78721604
492	25.78719526
493	25.78715219
494	25.77488846
495	25.77429389
496	25.77412295
497	25.77290771
498	25.76967968
499	25.76925182
500	25.76812569
501	25.76223236
502	25.76190428
503	25.76149647
504	25.76025074
505	25.74923076
506	25.74907673
507	25.74790212
508	25.74241109
509	25.74175718
510	25.73687799
511	25.73338516
512	25.73314815
513	25.73114349
514	25.73098242
515	25.72247256
516	25.72003562
517	25.71355737
518	25.70665842
519	25.70471921
520	25.69988696
521	25.68893431
522	25.68850443
523	25.68794367
524	25.68752835
525	25.68693318
526	25.68362512
527	25.67797902
528	25.67742772
529	25.67732101
530	25.67193108
531	25.66307674
532	25.65353395
533	25.65294504
534	25.65252622
535	25.65237808
536	25.65225108
537	25.64260138
538	25.64245226
539	25.64118844
540	25.63851717
541	25.63836322
542	25.63752656
543	25.63641012
544	25.63499825
545	25.63322171
546	25.6329223
547	25.6322976
548	25.62466866
549	25.62383219
550	25.62340484
551	25.62327665
552	25.62216445
553	25.62204844
554	25.61316097
555	25.61204953
556	25.61124396
557	25.6111191
558	25.60308308
559	25.59547769
560	25.59522575
561	25.59490167
562	25.59244202
563	25.59231787
564	25.59136394
565	25.58907792
566	25.5885195
567	25.58810423
568	25.58660919
569	25.58093299
570	25.57385414
571	25.57352849
572	25.57288076
573	25.57255343
574	25.56963375
575	25.56911897
576	25.56866551
577	25.56523704
578	25.55996019
579	25.55953317
580	25.55285429
581	25.5527743
582	25.55229493
583	25.55191715
584	25.55083956
585	25.55022674
586	25.54988442
587	25.54885794
588	25.54834419
589	25.54747185
590	25.54645391
591	25.54630245
592	25.54598652
593	25.5455224
594	25.54448639
595	25.54365406
596	25.54315474
597	25.54215436
598	25.54200658
599	25.53765682
600	25.53718826
601	25.53670234
602	25.53508306
603	25.53462804
604	25.53429915
605	25.52799861
606	25.52770829
607	25.52239461
608	25.52215989
609	25.51297021
610	25.51284591
611	25.51253663
612	25.51137608
613	25.51068375
614	25.510349
615	25.50622923
616	25.50160361
617	25.50138478
618	25.5010775
619	25.50086245
620	25.50074222
621	25.50030429
622	25.4987585
623	25.49816773
624	25.49521598
625	25.49453776
626	25.49329555
627	25.48638937
628	25.4841561
629	25.48208848
630	25.48116877
631	25.4807377
632	25.48040905
633	25.47603677
634	25.47591716
635	25.47582957
636	25.47547716
637	25.47478137
638	25.46915471
639	25.46867497
640	25.46826721
641	25.4681045
642	25.4670542
643	25.46057402
644	25.46040345
645	25.45942368
646	25.45872612
647	25.45806363
648	25.4530986
649	25.45292007
650	25.45215344
651	25.45093329
652	25.44808437
653	25.43998293
654	25.43385741
655	25.43297247
656	25.42586281
657	25.42520609
658	25.42324444
659	25.42270401
660	25.42208132
661	25.41536944
662	25.41317272
663	25.40868397
664	25.40799901
665	25.40794921
666	25.40771929
667	25.40540577
668	25.401473
669	25.40138175
670	25.40119489
671	25.39916531
672	25.39377729
673	25.39313235
674	25.38987038
675	25.38844351
676	25.38421602
677	25.38245599
678	25.37846693
679	25.37680417
680	25.37617082
681	25.37574169
682	25.37436855
683	25.37422215
684	25.37398889
685	25.37352544
686	25.36909433
687	25.36851856
688	25.36837493
689	25.36836409
690	25.35809606
691	25.35806623
692	25.35293962
693	25.35264885
694	25.35243911
695	25.35210411
696	25.35080262
697	25.35052992
698	25.35052148
699	25.34594316
700	25.34545993
701	25.34500278
702	25.34484355
703	25.34439684
704	25.34226945
705	25.34205501
706	25.34140912
707	25.33657927
708	25.33154462
709	25.33119494
710	25.32690961
711	25.32682226
712	25.3265063
713	25.32318838
714	25.32184448
715	25.32173851
716	25.3179078
717	25.30868722
718	25.30844288
719	25.30721193
720	25.30454161
721	25.30082176
722	25.29655422
723	25.29641959
724	25.29630668
725	25.29042468
726	25.28852334
727	25.2879812
728	25.28708574
729	25.28250068
730	25.28226566
731	25.28206562
732	25.2818458
733	25.27750845
734	25.27562303
735	25.27537085
736	25.27518886
737	25.27512922
738	25.27493268
739	25.27490376
740	25.27241993
741	25.27166273
742	25.27106597
743	25.27057187
744	25.26925901
745	25.26895159
746	25.26871387
747	25.26524929
748	25.26488642
749	25.2647797
750	25.26467657
751	25.26371154
752	25.26182907
753	25.26153679
754	25.25756465
755	25.25743742
756	25.25395301
757	25.24828186
758	25.24707808
759	25.24650643
760	25.24236792
761	25.24198474
762	25.2377228
763	25.2376112
764	25.235333
765	25.23451308
766	25.23434344
767	25.2341318
768	25.23402072
769	25.23315721
770	25.23100728
771	25.23056772
772	25.22640061
773	25.22112446
774	25.2187006
775	25.21815592
776	25.21799218
777	25.21770819
778	25.21310698
779	25.21292509
780	25.21284475
781	25.21178961
782	25.20226669
783	25.19860831
784	25.19579642
785	25.19563813
786	25.19391873
787	25.19365635
788	25.19348228
789	25.192382
790	25.18854786
791	25.18637688
792	25.18627853
793	25.17720215
794	25.17396941
795	25.17046789
796	25.16533498
797	25.16031307
798	25.15669726
799	25.15408547
